2019-02-24 12-50-14 | Initializing librouter...
2019-02-24 12-50-14 | Getting modules...
2019-02-24 12-50-14 | Loading settings...
2019-02-24 12-50-14 | Loading pairs...
2019-02-24 12-50-14 | Loading filter rules...
2019-02-24 12-50-14 | *** LoadFilterRules: No rules loaded
2019-02-24 12-50-14 | Loading IP exclusions...
2019-02-24 12-50-14 | Setting up user interface...
2019-02-24 12-50-14 | Loading port list...
2019-02-24 12-50-14 | Loading IP range list...
2019-02-24 12-50-17 | Initialization done
2019-02-24 12-51-29 | Closing, saving settings...
2019-02-24 12-51-30 | Normal program termination
